Id,Label,timeset,game_id,game_name,game name,modularity_class,tag_ids,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,eigencentrality
167770949,ThumblessCudi,,512710,,Call of Duty: Warzone,3,"[ff56eeeb-99ed-4a60-93fc-0b3f05d8661e, 6ea6bca4-4712-4ab9-a906-e3336a9d8039]",48,1812,2,0.833333,0.9,2.124415,0.93883,1059,0.866108
157637554,kronawow,,18122,,World of Warcraft,0,"[6ea6bca4-4712-4ab9-a906-e3336a9d8039, b157e8d6-b7ba-49f4-836f-09886c072f1f]",44,2652,2,0.789474,0.866667,0.439912,0.980973,928,0.8116
153859298,RelaxBeats,,26936,,Music,2,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],58,95648,2,0.967742,0.983333,13.464029,0.855414,1414,0.999392
555713070,yojolu,,509659,,ASMR,3,"[6ea6bca4-4712-4ab9-a906-e3336a9d8039, 64d9afa6-139a-48d5-ab4e-51d0a92b22de]",52,1544,2,0.882353,0.933333,3.127115,0.921569,1222,0.928579
31795012,Rarezy,,512710,,Call of Duty: Warzone,3,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],54,1899,2,0.909091,0.95,4.188517,0.903564,1293,0.955111
179065334,poopernoodle,,497883,,My Time at Portia,3,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],57,22084,2,0.952381,0.975,6.083077,0.882206,1408,0.996649
106058400,JimDavisMTG,,2748,,Magic: The Gathering,5,"[6ea6bca4-4712-4ab9-a906-e3336a9d8039, b157e8d6-b7ba-49f4-836f-09886c072f1f]",54,19828,2,0.909091,0.95,3.986024,0.907757,1299,0.95707
26412614,Nili_AoE,,32399,,Counter-Strike: Global Offensive,4,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],53,36347,2,0.895522,0.941667,2.483857,0.933237,1286,0.951532
566626765,Roulettem,,498566,,Slots,2,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],8,496,2,0.535714,0.566667,3.333333,0.785714,22,0.135519
609960077,MommyxDaddy,,18122,,World of Warcraft,2,"[6ea6bca4-4712-4ab9-a906-e3336a9d8039, 2e037750-5051-44ea-a51f-7a376bbacb29, b157e8d6-b7ba-49f4-836f-09886c072f1f]",2,50,3,0.504202,0.513889,0,1,1,0.02224
65428174,Razerninjas,,513181,,Genshin Impact,5,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],49,1368,2,0.84507,0.908333,2.535383,0.932823,1097,0.880972
121135020,Moxsy,,491318,,Borderlands 3,5,"[6ea6bca4-4712-4ab9-a906-e3336a9d8039, b157e8d6-b7ba-49f4-836f-09886c072f1f, f9029b6f-a894-482d-a77a-84598859b2a3]",56,7355,2,0.9375,0.966667,5.573931,0.888961,1369,0.982631
112375357,Lana_Lux,,509670,,Science & Technology,3,"[6ea6bca4-4712-4ab9-a906-e3336a9d8039, f588bd74-e496-4d11-9169-3597f38a5d25, 02ba4017-ed3b-4b82-ab20-011860784f77, b97ee881-e15a-455d-9876-657fcba7cfd8]",56,10558,2,0.9375,0.966667,4.696788,0.898701,1384,0.987658
28655798,Stallion,,512709,,Call of Duty: Black Ops Cold War,3,"[6ea6bca4-4712-4ab9-a906-e3336a9d8039, ff56eeeb-99ed-4a60-93fc-0b3f05d8661e]",56,6103,2,0.9375,0.966667,5.573931,0.888961,1369,0.982631
2400710,MembTV,,13389,,Age of Empires II,4,"[6ea6bca4-4712-4ab9-a906-e3336a9d8039, a005b174-b20e-46b1-8679-4589fef81c8e, 1eba3cfe-51cc-460a-8259-bc8bb987f904]",55,45833,2,0.923077,0.958333,4.260602,0.906397,1346,0.973968
34978952,ZeldaSpeedRuns,,11557,,The Legend of Zelda: Ocarina of Time,5,"[6ea6bca4-4712-4ab9-a906-e3336a9d8039, 81df4005-f654-40b2-9fc0-9fd767bc8e3e, bb5e7234-380e-48ad-a59c-03e51274e478, 2fd30cb8-f2e5-415d-9d42-1316cfa61367, a005b174-b20e-46b1-8679-4589fef81c8e, 7cefbf30-4c3e-4aa7-99cd-70aabb662f27]",55,16561,2,0.923077,0.958333,4.907574,0.89899,1335,0.97035
107939114,DutchsinseOfficial,,509670,,Science & Technology,2,"[6ea6bca4-4712-4ab9-a906-e3336a9d8039, cea7bc0c-75a5-4446-8743-6db031b71550]",55,5439,2,0.923077,0.958333,10.95109,0.879461,1306,0.960535
430708432,ASMR_Marie,,509659,,ASMR,2,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],57,5362,2,0.952381,0.975,6.083077,0.882206,1408,0.996649
140873889,absoluteHabibi,,67584,,Europa Universalis IV,5,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],40,2270,2,0.75,0.833333,0.759726,0.962821,751,0.734998
411377640,Jynxzi,,460630,,Tom Clancy's Rainbow Six Siege,3,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],38,1476,2,0.731707,0.816667,1.197923,0.944523,664,0.6865
152184473,Keily___,,27546,,World of Tanks,3,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],50,1515,2,0.857143,0.916667,2.430126,0.934694,1145,0.899869
99591839,Natarsha,,509658,,Just Chatting,3,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],58,15982,2,0.967742,0.983333,45.267028,0.834846,1380,0.987425
185227953,auraofpsych,,509658,,Just Chatting,3,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],52,5282,2,0.882353,0.933333,2.783848,0.929864,1233,0.932154
401980665,realrayford,,509538,,Animal Crossing: New Horizons,2,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],25,209,2,0.631579,0.708333,0.021739,0.996667,299,0.468116
30521334,TeamJbro,,2748,,Magic: The Gathering,5,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],36,3462,3,0.705882,0.797222,0.098076,0.993651,626,0.672636
268540895,HotBeatsTV,,26936,,Music,2,"[6ea6bca4-4712-4ab9-a906-e3336a9d8039, e525f885-ccc0-42dd-9b6e-0586f76fdb3c, c553e849-7019-479b-a14d-a78cd3462e9a, c5247b10-deec-4d7a-84a5-db6a75cb5908, 338d7a92-8bcc-429e-a30c-9f1c41a2d79a, d81d54c8-d705-4df6-aaf0-01d715c1dbcc]",59,10378,2,0.983607,0.991667,68.130696,0.827002,1415,1
32679000,Mrhappy1227,,513181,,Genshin Impact,5,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],56,23337,2,0.9375,0.966667,5.492321,0.89026,1371,0.983466
183051236,cyberonixx,,509658,,Just Chatting,2,[6ea6bca4-4712-4ab9-a906-e3336a9d8039],39,683,2,0.740741,0.825,1.322168,0.94332,699,0.703966
104477397,snupy,,18122,,World of Warcraft,0,"[6ea6bca4-4712-4ab9-a906-e3336a9d8039, b157e8d6-b7ba-49f4-836f-09886c072f1f]",48,6671,2,0.833333,0.9,0.529579,0.97961,1105,0.883154
